"","","","","","","","","","","pred"
"155",2,0,0,0,0.940837671666956,8.05684010886335e-29,2.74925097871873e-315,2.74925097871873e-315,2.74925097871873e-315,1
"156",10,0,0,0,0.325123572332489,6.80591768482965e-141,5.24826573885594e-314,5.24826573885594e-314,5.24826573885594e-314,1
"157",0,0,0,0,0.234452807774073,0.160567792907303,0.0399228617508028,0.0165482702766854,0.000433295343134395,1
"158",2,0,0,0,0.940837671666956,8.05684010886335e-29,2.74925097871873e-315,2.74925097871873e-315,2.74925097871873e-315,1
"159",1,0,0,0,0.960969034271542,7.35928999062232e-15,1.70069182716736e-315,1.70069182716736e-315,1.70069182716736e-315,1
"160",3,0,0,0,0.911281578665549,8.72622006436487e-43,4.396790166406e-315,4.396790166406e-315,4.396790166406e-315,1
"161",11,0,0,0,0.237320650947498,5.55516916237263e-155,6.32537602561245e-314,6.32537602561245e-314,6.32537602561245e-314,1
"162",0,0,0,0,0.234452807774073,0.160567792907303,0.0399228617508028,0.0165482702766854,0.000433295343134395,1
"163",0,0,0,0,0.234452807774073,0.160567792907303,0.0399228617508028,0.0165482702766854,0.000433295343134395,1
"164",13,0,0,0,0.114901064340487,3.36304637371034e-183,8.34914082124481e-314,8.34914082124481e-314,8.34914082124481e-314,1
"165",1,0,0,0,0.960969034271542,7.35928999062232e-15,1.70069182716736e-315,1.70069182716736e-315,1.70069182716736e-315,1
"166",1,0,0,0,0.960969034271542,7.35928999062232e-15,1.70069182716736e-315,1.70069182716736e-315,1.70069182716736e-315,1
"167",8,0,0,0,0.535907628572056,8.9718318684662e-113,3.17314838004722e-314,3.17314838004722e-314,3.17314838004722e-314,1
"168",2,0,0,0,0.940837671666956,8.05684010886335e-29,2.74925097871873e-315,2.74925097871873e-315,2.74925097871873e-315,1
"169",0,0,0,0,0.234452807774073,0.160567792907303,0.0399228617508028,0.0165482702766854,0.000433295343134395,1
"170",5,0,0,0,0.810794654730465,9.70803858325855e-71,1.06650020329691e-314,1.06650020329691e-314,1.06650020329691e-314,1
"171",1,0,0,0,0.960969034271542,7.35928999062232e-15,1.70069182716736e-315,1.70069182716736e-315,1.70069182716736e-315,1
"172",1,0,0,0,0.960969034271542,7.35928999062232e-15,1.70069182716736e-315,1.70069182716736e-315,1.70069182716736e-315,1
"173",0,0,0,0,0.234452807774073,0.160567792907303,0.0399228617508028,0.0165482702766854,0.000433295343134395,1
"174",3,0,0,0,0.911281578665549,8.72622006436487e-43,4.396790166406e-315,4.396790166406e-315,4.396790166406e-315,1
"175",2,0,0,0,0.940837671666956,8.05684010886335e-29,2.74925097871873e-315,2.74925097871873e-315,2.74925097871873e-315,1
"176",3,0,0,0,0.911281578665549,8.72622006436487e-43,4.396790166406e-315,4.396790166406e-315,4.396790166406e-315,1
"177",1,0,0,0,0.960969034271542,7.35928999062232e-15,1.70069182716736e-315,1.70069182716736e-315,1.70069182716736e-315,1
"178",0,0,0,0,0.234452807774073,0.160567792907303,0.0399228617508028,0.0165482702766854,0.000433295343134395,1
"179",0,0,0,0,0.234452807774073,0.160567792907303,0.0399228617508028,0.0165482702766854,0.000433295343134395,1
"180",0,0,0,0,0.234452807774073,0.160567792907303,0.0399228617508028,0.0165482702766854,0.000433295343134395,1
"181",0,0,0,0,0.234452807774073,0.160567792907303,0.0399228617508028,0.0165482702766854,0.000433295343134395,1
"182",36,0,0,0,5.58759262029315e-06,4.14535776040046e-313,4.14535776040046e-313,4.14535776040046e-313,4.14535776040046e-313,1
"183",1,0,0,0,0.960969034271542,7.35928999062232e-15,1.70069182716736e-315,1.70069182716736e-315,1.70069182716736e-315,1
"184",4,0,0,0,0.869015634853711,9.30517796287652e-57,6.92299785750156e-315,6.92299785750156e-315,6.92299785750156e-315,1
"185",1,0,0,0,0.960969034271542,7.35928999062232e-15,1.70069182716736e-315,1.70069182716736e-315,1.70069182716736e-315,1
"186",1,0,0,0,0.960969034271542,7.35928999062232e-15,1.70069182716736e-315,1.70069182716736e-315,1.70069182716736e-315,1
"187",1,0,0,0,0.960969034271542,7.35928999062232e-15,1.70069182716736e-315,1.70069182716736e-315,1.70069182716736e-315,1
"188",4,0,0,0,0.869015634853711,9.30517796287652e-57,6.92299785750156e-315,6.92299785750156e-315,6.92299785750156e-315,1
"189",1,0,0,0,0.960969034271542,7.35928999062232e-15,1.70069182716736e-315,1.70069182716736e-315,1.70069182716736e-315,1
"190",46,0,0,0,7.06188398137397e-08,7.89028058193222e-313,7.89028058193222e-313,7.89028058193222e-313,7.89028058193222e-313,1
"191",0,0,0,0,0.234452807774073,0.160567792907303,0.0399228617508028,0.0165482702766854,0.000433295343134395,1
"192",1,0,0,0,0.960969034271542,7.35928999062232e-15,1.70069182716736e-315,1.70069182716736e-315,1.70069182716736e-315,1
